"Dahil malalim at madilim ang lawa, hindi na niya nakita kung saan napunta ang bola at gumulong ito sa lawa.","Dahil malalim at madilim ang lawa, hindi na niya nakita kung san napunta ang bola at gumulong ito sa lawa."
Tumingin-tingin ang prinsesa sa kanyang paligid at nakita niya ang ulo ng isang palakang nakalutang sa ibabaw ng tubig.,Tumingin tingin ang prinsesa sa kanyang paligid at nakita niya ang ulo ng isang palakang nakalutang sa ibabaw ng tubig.
"Maaari kong kunin ang iyong bola para sa iyo, prinsesa","Maaari kong kunin ang iyong bola para sayo, prinsesa"
"At para sabihin sa iyo, magiging malaking proyekto ito!","At para sabihin sayo, magiging malaking proyekto ito!"
"Kaya isang araw, inimbitahan niya akong maglaro ng golf.",Kaya isang araw inimbitahan niya akong maglaro ng golf.
"Hindi nangangahulugang hindi ganoon kapalad ang lahat ng manghihinang dahil lamang sa kawalan niya ng materyal na bagay, o kung gayunman, hindi ibig sabihin na karapat dapat sa kanila iyon.","Hindi nangangahulugang hindi ganoon kapalad ang lahat ng manghihinang dahil lamang sa kawalan niya ng material na bagay, o kung gayunman, hindi ibig sabihin na karapat dapat sa kanila iyon."
"Hindi ibig sabihin na lahat, o iilan sa mga mangkukulam ay ganito, at hindi rin dahil sa pinagkakaitan ang mangkukulam na ito ng kanyang karapatan na ipahayag ang kanyang saloobin.","Hindi ibig sabihin na lahat, o iilan sa mga mangkukulam ay ganito, at hindi rin sa pinagkakaitan ang mangkukulam na ito ng kanyang karapatan na ipahayag ang kanyang saloobin."
Hindi kaduda-dudang ang kanyang ugali ay dahil sa pagpapalaki sa kanya at dahil na rin sa kinalakihan niyang lipunan na sa kasamaang palad hindi na inilahad dito upang hindi malihis ang interes ng mambabasa rito.,Hindi kaduda-dudang ang kanyang kaugalian ay dahil sa pagpapalaki sa kanya at dahil na rin sa kinalakihan niyang lipunan na sa kasamaang palad hindi na inilahad dito upang hindi malihis ang interes ng mambabasa rito.
"""Para ito sa aking asawa,"" umiyak siya sa isang paraang lalaking lalaki.","""Para ito sa aking asawa,"" umiyak siya sa isang panlalaking paraan."
"Rapunzel, Rapunzel ilagay mo ang iyong buhok upang maakyat ko ang gintong hagdan!
","Rapunzel, Rapunzel pakibaba ang iyong buhok upang maakyat ko ang gintong hagdan!
"
"Tapos, pagdating ng tamang panahon, sabihin nating isa o dalawang linggo, ipakikilala natin sa mundo ang kanyang talento at makukuha natin lahat ng pera.","Tapos, pagdating ng tamang panahon, sabihin nating isa o dalawang linggo, ilalantad natin sa mundo ang kanyang talento at makukuha natin lahat ng pera."
Hindi batayan ang kasarian sa pandadambong.,Hindi batay ang kasarian sa pandadambong.
"Marami nang nakita at napatawad ang mga matang ito, apo","Marami nang nakita at napat awad ang mga matang ito, apo"
Nagdala ako ng walang taba at walang for sodium meryenda para suportahan ang iyong matalino at wastong pagkain,Nagdala ako ng walang taba at walang sosang meryenda para suportahan ang iyong matalino at wastong pagkain
Narinig ng dumadaang taong tagasibak ng kahoy ang sigaw.,Narinig ng dumadaang taong taga-sibak ng kahoy ang sigaw.
"Sa biglang pagpasok niya sa tahanan, nakita niya ang away at sinubukan niyang itigil ito pero noong pag taas kanyang palakol, tumigil si Red Riding Hood at ang Lobo.","Sa biglang pag pasok niya sa tahanan, nakita niya ang away at sinubukan niyang itigil ito pero noong pag taas kanyang palakol, tumigil si Red Riding Hood at ang Lobo."
"Nagdesisyon sila na magtayo ng alternatibong tirahan batay sa respeto sa isa't isa at kooperasyon, at nanirahan sila sa kagubatan nang maligaya ngayon at magpakailanman.","Nag desisyon sila na magtayo ng alternatibong tirahan batay sa respeto sa isa't isa at kooperasyon, at nanirahan sila sa kagubatan nang maligaya ngayon at magpakailanman."
Tingnan mo ang natamo kong bukol nang mapatunayan mo.,Tignan mo ang natamo kong bukol nang mapatunayan mo.
"Pananakit, diskriminasyon, pananakit ng damdamin, pagsasawalang-bahala sa emosyon, panghihimasok o pang-aalipusta--sabihan mo lamang, isasampa nating lahat iyan.","Pagkasugat, diskriminasyon, pananakit ng damdamin, pagsasawalang-bahala sa emosyon, panghihimasok o pang-aalipusta--sabihan mo lamang, isasampa nating lahat iyan."
Marahil dapat maghanap tayo ng isang abogado nang malaman natin kung sino ang maaaring kasuhan.,Marahil dapat maghanap tayo ng isang abugado nang malaman natin kung sino ang maaaring kasuhan.
Gagamitin ko na ring pagkakataon iyon upang itanong sa abogado kung sino ang maaari kong kasuhan para rito sa payat at buto-buto kong mga binti.,Gagamitin ko na ring pagkakataon iyon upang itanong sa abugado kung sino ang maaari kong kasuhan para rito sa payat at buto-buto kong mga binti.
Maaari ba akong sumama para makahanap din ng maaaring kasuhan dahil sa aking payat at mababang leeg?,Maaari ba akong sumama para makahanap din ng maaaring kasuhan dahil sa aking mapayat at mababang leeg?
Ipinagpag ng tatlo ang kanilang mga pakpak dahil sa labis na kasiyahan.,Ipinayagpag ng tatlo ang kanilang mga pakpak dahil sa labis na kasiyahan.
"Marahas niyang hinaltak at hinila ang pintuan, kasabay ng pagmumura at pagsasabi nito ng masasakit na salita.","Marahas ninyang hinaltak at hinila ang pintuan, kasabay ng pagmumura at pagsasabi nito ng masasakit na salita."
Okey lang.,Ayos lang.
"Tingnan mo sila, wala sa kanilang may pera.","Tignan mo sila, wala sa kanilang may pera."
"Tingnan mo sila, wala sa kanilang may pera.","Tingnan mo sila, wala sa kaninlang may pera."
"Tingnan mo sila, wala sa kanilang may pera.","Tingnan mo sila, wala sa kanilang mayroon pera."
"Hayan, nakita ninyo?","Iyan, nakita ninyo?"
Napag-isipan mo na ba talaga ito?,Napagisipan mo na ba talaga ito?
Mukha naman silang mabait.,Para naman silang mabait.
Ngunit nandito ka na rin naman.,Ngunit nandito ka rin naman.
"Oo, para sa humigit kumulang isang daang bata.","Oo, para sa higit kumulang isang daang bata."
Magkasosyo habang-buhay.,Magka-sosyo habang-buhay.
Sila ang nagpapatakbo ng lahat ng kabulastugan dito.,Sila ang nagpapatakbo ng lahat ng kabalastugan dito.
Kailangan mong gawin yun.,Kailangan kitang gawin yun.
"Nagkamali yata kayo ng pinuntahan, pare.","Nagkamali ata kayo ng pinuntahan, pare."
"Black market exotic materials, tulad ng inakala namin.","Black market exotic materials, tulad ng inakala naming."
Uy! Si Superman ba yan?,Ah! Si Superman ba yan?
Naglakbay kayo ng napakalayo upang maging saksi sa isang napakaimportanteng bagay.,Lumakbay kayo ng napakalayo upang maging saksi sa isang napakaimportanteng bagay.
"Kapwa kong MasterBuilders, kasama na sina Robin Hood, Mermaid Lady, Gandalf, Swamp Creature, si 1980-something, Space Guy, mga NBA All-Stars ng 2002, at Wonder Woman.","Kapwa kong MasterBuilders, kabilang na sina Robin Hood, Mermaid Lady, Gandalf, Swamp Creature, si 1980-something, Space Guy, mga NBA All-Stars ng 2002, at Wonder Woman."
Kailangan niyong isulat kasi wala naman akong maaalala na kahit ano.,Kailangan niyong isulat kasi wala akong maaalala na kahit ano.
"Ang pangalan ay MetalBeard, at ikukwento ko ang aking kwento ng kabiguan.","Ang pangalan ay MetalBeard, at sasalaysayin ko ang aking kwento ng kabiguan."
"Wala akong karanasan sa pakikipaglaban, sa pamumuno, o sa paggawa ng mga plano.","Wala akong karanasan sa pakikipaglaban, sa pamumuno, o sa paggawa ng plano."
"Hindi, mayroon dapat siyang ""ngunit""","Hindi, may-roon dapat siyang ""ngunit"""
Mas mabuti pa ang pangkat na hati-hati kaysa dito.,Mas mabuti pa ang pangkat na hati-hati kaysa sa rito.
Ikaw ang pinakamasamang lider na nakita ko.,Ikaw ang pinakamasamang pinuno na nakita ko.
Hinihila mo ang katawan ko.,Hinihila mo ang aking katawan.
Natrap na natin siya.,Na-trap na natin siya.
Pag-inakyat naman ang upuan may coolers sa ilalim nito.,Pag-inakyat naman ang upuan may mga kulers sa ilalim nito.
Mukhang ako na naman ang panalo.,Mukhang ako nanaman ang panalo.
